textbook_id,grade,subject,category,curriculum_relevance,filename,num_pages,file_size_mb,has_selectable_text,is_image_only,ocr_requirement,total_extracted_characters,avg_chars_per_page,relative_path
gseb_std11_11_maths_englishmedium_pdf_em,STD-11th,Mathematics,CORE_TEXTBOOK,HIGH,Std-11_Maths_EnglishMedium.pdf,376,43.18,True,False,NONE,1372374,3649.9,STD-11th/SCIENCE/Std-11_Maths_EnglishMedium.pdf
gseb_std11_11_physics_part_1_english_medium_pdf_em,STD-11th,Science & Technology,CORE_TEXTBOOK,HIGH,Std-11_Physics Part 1_English Medium.pdf,186,9.53,True,False,NONE,372682,2003.7,STD-11th/SCIENCE/Std-11_Physics Part 1_English Medium.pdf
gseb_std11_11_physics_part_2_english_medium_pdf_em,STD-11th,Science & Technology,CORE_TEXTBOOK,HIGH,Std-11_Physics Part 2_English Medium.pdf,164,4.35,True,False,NONE,338988,2067.0,STD-11th/SCIENCE/Std-11_Physics Part 2_English Medium.pdf
gseb_std11_11_economics_selflearningbook_englishmedium_pdf_em,STD-11th,Commerce & Economics,SELF_LEARNING,MEDIUM,Std-11_Economics_SelfLearningBook _EnglishMedium.pdf,188,42.01,False,False,HYBRID_OPTIONAL,3008,16.0,STD-11th/SELF LEARNING BOOKs/Std-11_Economics_SelfLearningBook _EnglishMedium.pdf
gseb_std11_11_flamingo_supplementry_reader_pdf_em,STD-11th,English Literature & Language,SUPPLEMENTARY_TEXTBOOK,MEDIUM,Std-11 Flamingo_Supplementry_Reader.pdf,110,40.28,False,True,REQUIRED,946,8.6,STD-11th/Std-11 Flamingo_Supplementry_Reader.pdf
gseb_std11_11_statistics_english_medium_pdf_em,STD-11th,Commerce & Economics,CORE_TEXTBOOK,HIGH,Std-11 Statistics_English Medium.pdf,320,28.67,False,True,REQUIRED,0,0.0,STD-11th/Std-11 Statistics_English Medium.pdf
gseb_std11_11_geography_eng_m_pdf_em,STD-11th,Social Science & Humanities,CORE_TEXTBOOK,HIGH,Std-11-Geography_Eng_M.pdf,146,64.02,False,True,REQUIRED,632,4.3,STD-11th/Std-11-Geography_Eng_M.pdf
gseb_std11_11_psaychology_englishmedium_pdf_em,STD-11th,English Literature & Language,CORE_TEXTBOOK,HIGH,Std-11-Psaychology EnglishMedium.pdf,130,65.29,False,False,HYBRID_OPTIONAL,2270,17.5,STD-11th/Std-11-Psaychology EnglishMedium.pdf
gseb_std11_11_commercial_organization_and_management_eng_m_pdf_em,STD-11th,Commerce & Economics,UNKNOWN,LOW,Std-11_Commercial Organization and Management_Eng_M.pdf,138,33.21,False,False,HYBRID_OPTIONAL,3965,28.7,STD-11th/Std-11_Commercial Organization and Management_Eng_M.pdf
gseb_std11_11_computer_studies_englishmedium_pdf_em,STD-11th,Computer Studies,CORE_TEXTBOOK,HIGH,STD-11_COMPUTER_STUDIES_EnglishMedium.pdf,188,92.11,False,True,REQUIRED,0,0.0,STD-11th/STD-11_COMPUTER_STUDIES_EnglishMedium.pdf
gseb_std11_11_elements_of_book_keeping_and_accountancy_part_1_eng_m_pdf_em,STD-11th,Commerce & Economics,CORE_TEXTBOOK,HIGH,Std-11_Elements of Book Keeping and Accountancy Part-1_Eng_M.pdf,314,85.38,False,False,HYBRID_OPTIONAL,7850,25.0,STD-11th/Std-11_Elements of Book Keeping and Accountancy Part-1_Eng_M.pdf
